20001103 00:00,828800,839400,816400,830000,29681300
20001106 00:00,836300,849400,820000,822300,21860400
20001107 00:00,814400,824700,800600,819100,23864100
20001108 00:00,821300,822500,763100,763100,37279500
20001109 00:00,747500,769400,730000,763100,64666200
20001110 00:00,742500,756900,720000,720000,46913100
20001113 00:00,709500,741900,682700,710000,73766200
20001114 00:00,730000,760000,727500,757000,44479400
20001115 00:00,755600,780600,748000,768100,37421900
20001116 00:00,753800,770000,723800,731300,32917600
20001117 00:00,731900,751900,710000,736100,48455800
20001120 00:00,709400,720600,690000,697300,46531500
20001121 00:00,701900,715000,684400,696600,41578500
20001122 00:00,684400,701300,666300,667500,56425200
20001124 00:00,683800,706300,681700,704400,23193800
20001127 00:00,725600,729400,687500,691400,35971200
20001128 00:00,689400,716900,653100,654800,48160300
20001129 00:00,658100,667500,625000,650000,61390400
20001130 00:00,617500,642500,600600,624700,75005000
20001201 00:00,640600,667700,621300,636700,57421900
20001204 00:00,641300,654400,617500,640000,46778200
20001205 00:00,660600,710000,583100,709400,77330700
20001206 00:00,705900,723000,675600,688100,62158200
20001207 00:00,670000,689800,661300,678900,38431000
20001208 00:00,710900,872500,697000,718900,59582400
20001211 00:00,720600,747800,709500,741300,51124900
20001212 00:00,735000,738800,708800,715000,29755000
20001213 00:00,734400,735000,683100,685200,51205100
20001214 00:00,685200,696900,656300,658800,38315600
20001215 00:00,642500,656300,605000,638100,57821200
20001218 00:00,651600,659700,625600,633800,42454900
20001219 00:00,634500,658600,597800,600000,78288100
20001220 00:00,573100,583800,547500,554200,78896600
20001221 00:00,550200,587500,542500,558100,84496400
20001222 00:00,576300,607500,560600,606300,56301600
20001226 00:00,605900,619200,580000,601900,35626800
20001227 00:00,596900,621900,589400,612500,33769600
20001228 00:00,607800,624800,602500,612800,30069700
20001229 00:00,615600,622300,580000,584400,46732700
20010102 00:00,585600,586900,524400,532300,61819700
20010103 00:00,521900,640000,520600,628100,115085400
20010104 00:00,616300,636300,602300,614800,56326000
20010105 00:00,613100,613100,560000,566900,70772600
20010108 00:00,563100,569400,535200,568900,53219400
20010109 00:00,577500,591300,566300,574400,52452400
20010110 00:00,561300,603800,557500,601900,71989200
20010111 00:00,592700,636900,584400,627500,61255400
20010112 00:00,627500,646300,605000,624800,59666900
20010116 00:00,625600,629200,603800,615600,29908700
20010117 00:00,645000,656100,631400,636900,59521200
20010118 00:00,641300,669800,621300,665000,53229400
20010119 00:00,681400,683100,655600,663600,56472600
20010122 00:00,658800,670000,640000,659800,34900100
20010123 00:00,659100,689500,653100,678100,48097800
20010124 00:00,680600,691300,666300,679400,51456100
20010125 00:00,668800,679500,642300,647700,56402000
20010126 00:00,635600,665600,625600,655600,46583400
20010129 00:00,647500,672500,638000,671000,31339200
20010130 00:00,671500,692100,604000,668600,41285400
20010131 00:00,672500,699400,646200,646500,58744000
20010201 00:00,645500,688400,632900,650000,45100700
20010202 00:00,649400,659000,600000,616800,46227700
